transaction_id,date,description,amount,currency,country_code,expected_merchant,expected_category,expected_mcc,expected_city,expected_postcode_area,difficulty,pattern,channel
TX300001,2026-03-17T19:10:00Z,EE LIMITED*23912 SUNDERLAND GB,161.52,GBP,GB,EE,Bills > Mobile,4814,SUNDERLAND,SR1,medium,ref_code,direct_debit
TX300002,2026-03-11T05:58:00Z,BURGER KING HULL GB,80.45,GBP,GB,Burger King,Food & Drink > Fast Food,5814,HULL,HU1,easy,clean,card_present
TX300003,2026-06-16T05:47:00Z,NATIONAL EXPRESS 5254 LONDON GB,35.92,GBP,GB,National Express,Transport > Coach & Bus,4131,LONDON,WC1B,easy,store_number,contactless
TX300004,2026-05-11T02:50:00Z,ANGLIAN WATER*SCC0T4U BELFAST GB,50.42,GBP,GB,Anglian Water,Bills > Water,4900,BELFAST,BT1,medium,ref_code,direct_debit
TX300005,2026-07-16T06:01:00Z,THEBLACKHORSE OXFORD GB,28.22,GBP,GB,The Black Horse,Food & Drink > Pubs & Bars,5813,OXFORD,OX1,hard,no_space,contactless
TX300006,2026-06-21T13:18:00Z,TAYLORS KEBAB HOUSE 8808 LONDON GB,72.53,GBP,GB,Taylor's Kebab House,Food & Drink > Takeaway,5814,LONDON,E14,medium,store_number,contactless
TX300007,2026-04-09T10:33:00Z,ZETTLE_*SINGHS OFF LICENCE BRADFORD GB,10.66,GBP,GB,Singh's Off Licence,Groceries > Off Licence,5921,BRADFORD,BD1,hard,psp_prefix,card_present
TX300008,2026-05-08T19:57:00Z,AVANTI WEST COAST GUILDFORD GU1 GB,20.48,GBP,GB,Avanti West Coast,Transport > Rail,4112,GUILDFORD,GU1,easy,postcode_tail,card_present
TX300009,2026-03-06T05:56:00Z,IZ *HUSSAIN & SONS PIZZERIA LONDON GB,81.11,GBP,GB,Hussain & Sons Pizzeria,Food & Drink > Restaurants,5812,LONDON,E14,hard,psp_prefix,contactless
TX300010,2026-05-16T15:14:00Z,NCP CAR PARK STOKE-ON-TRENT GB,204.76,GBP,GB,NCP,Transport > Parking,7523,STOKE-ON-TRENT,ST1,easy,clean,contactless
TX300011,2026-03-04T20:44:00Z,SQ *ROBERTSS MOT CENTRE BRISTOL GB,1.90,GBP,GB,Roberts's Mot Centre,Transport > Vehicle Servicing,7538,BRISTOL,BS1,hard,psp_prefix,contactless
TX300012,2026-05-21T21:17:00Z,ODEON CINEMAS NORWICH NR1 GB,90.15,GBP,GB,Odeon,Entertainment > Cinema,7832,NORWICH,NR1,easy,postcode_tail,card_present
TX300013,2026-06-03T04:46:00Z,EDF ENERGY LONDON GB,14.78,GBP,GB,EDF Energy,Bills > Energy,4900,LONDON,SE10,easy,clean,direct_debit
TX300014,2026-07-02T08:37:00Z,NTNL EXPRSS DUNDEE GB,68.66,GBP,GB,National Express,Transport > Coach & Bus,4131,DUNDEE,DD1,hard,vowel_dropped,card_present
TX300015,2026-04-06T14:50:00Z,COSTA COFFEE 3089 CAMBRIDGE GB,4.50,GBP,GB,Costa Coffee,Food & Drink > Cafes & Coffee Shops,5814,CAMBRIDGE,CB1,easy,store_number,contactless
TX300016,2026-08-07T15:35:00Z,OVO ENERGY SLOUGH GB,11.42,GBP,GB,OVO Energy,Bills > Energy,4900,SLOUGH,SL1,easy,clean,direct_debit
TX300017,2026-06-28T03:52:00Z,ZETTLE_*SMITH PHYSIOTHERAPY LONDON GB,214.64,GBP,GB,Smith Physiotherapy,Health > Physiotherapy,8049,LONDON,E14,hard,psp_prefix,contactless
TX300018,2026-04-24T22:35:00Z,CNCR RSRCH UK NOTTINGHAM GB,37.67,GBP,GB,Cancer Research UK,Charity > Donations,8398,NOTTINGHAM,NG1,hard,vowel_dropped,contactless
TX300019,2026-06-06T23:56:00Z,ODEON CINEMAS EXETER GB,45.94,GBP,GB,Odeon,Entertainment > Cinema,7832,EXETER,EX1,easy,clean,ecommerce
TX300020,2026-07-01T12:01:00Z,THE ROYAL OAK TID45046 WOLVERHAMPTON GB,3.61,GBP,GB,The Royal Oak,Food & Drink > Pubs & Bars,5813,WOLVERHAMPTON,WV1,medium,terminal_id,card_present
TX300021,2026-08-18T08:08:00Z,SPECSAVERS LONDON GB,184.44,GBP,GB,Specsavers,Health > Opticians,8043,LONDON,SW1A,easy,clean,contactless
TX300022,2026-03-06T15:45:00Z,CASH WITHDRAWAL LINK 8393 IPSWICH GB,11.81,GBP,GB,LINK ATM,Financial > Cash Withdrawal,6011,IPSWICH,IP1,easy,store_number,atm
TX300023,2026-05-08T06:51:00Z,FREE NOW 3473 WATFOR,36.58,GBP,GB,FREE NOW,Transport > Ride Hailing,4121,WATFORD,WD17,hard,truncated,ecommerce
TX300024,2026-04-15T00:29:00Z,TFW RAIL 4699 GUILDFORD GB,2.19,GBP,GB,Transport for Wales,Transport > Rail,4112,GUILDFORD,GU1,easy,store_number,ecommerce
TX300025,2026-05-14T11:45:00Z,BEGUM DENTAL PRACTICE*1UVRW82 EXETER GB,6.58,GBP,GB,Begum Dental Practice,Health > Dentists,8021,EXETER,EX1,medium,ref_code,ecommerce
TX300026,2026-04-11T22:35:00Z,FARMFOODS 5941 LON,20.03,GBP,GB,Farmfoods,Groceries > Frozen Food,5411,LONDON,SW1A,hard,truncated,card_present
TX300027,2026-04-25T03:56:00Z,GO OUTDOORS 6598 WATFORD GB,277.51,GBP,GB,Go Outdoors,Shopping > Sporting Goods,5941,WATFORD,WD17,easy,store_number,contactless
TX300028,2026-06-11T19:17:00Z,STONEGATEPUBCO STOKE-ON-TRENT GB,27.46,GBP,GB,Stonegate Pub Company,Food & Drink > Pubs & Bars,5813,STOKE-ON-TRENT,ST1,hard,no_space,ecommerce
TX300029,2026-06-10T23:31:00Z,EASYJET NEWCASTLE UPON TYNE GB,1145.13,GBP,GB,easyJet,Travel > Airlines,3000,NEWCASTLE UPON TYNE,NE1,easy,clean,card_present
TX300030,2026-03-04T00:49:00Z,ZETTLE_*THE KINGS ARMS CHESTER GB,8.21,GBP,GB,The Kings Arms,Food & Drink > Pubs & Bars,5813,CHESTER,CH1,hard,psp_prefix,card_present
